in_product_family,in_bounding_box_x1,in_bounding_box_y1,in_bounding_box_x2,in_bounding_box_y2,in_bounding_box_x3,in_bounding_box_y3,in_bounding_box_x4,in_bounding_box_y4,out_bounding_box_x1,out_bounding_box_y1,out_bounding_box_x2,out_bounding_box_y2,out_bounding_box_x3,out_bounding_box_y3,out_bounding_box_x4,out_bounding_box_y4
ROOM,8517.03672,9101.5971,9145.86557,9101.5971,9145.86557,9701.3723,8517.03672,9701.3723,8517.03672,9101.5971,9145.86557,9101.5971,9145.86557,9701.3723,8517.03672,9701.3723
SOFA,-125.5,-81.75,125.5,-81.75,125.5,81.75,-125.5,81.75,8894.85546875,9343.5185546875,9145.85546875,9343.5185546875,9145.85546875,9507.0185546875,8894.85546875,9507.0185546875
STORAGE_FURNITURE,-45,-20,45,-20,45,20,-45,20,9075.845703125,9701.3720703125,8985.845703125,9701.3720703125,8985.845703125,9661.3720703125,9075.845703125,9661.3720703125
STORAGE_FURNITURE,-40,-29.65,40,-29.65,40,29.65,-40,29.65,9165.85546875,9711.0220703125,9085.85546875,9711.0220703125,9085.85546875,9651.7220703125,9165.85546875,9651.7220703125
LIGHTING,-39.5,-7.55,39.5,-7.55,39.5,7.55,-39.5,7.55,8641.1212890625,9390.9755859375,8641.1212890625,9469.9755859375,8626.0212890625,9469.9755859375,8626.0212890625,9390.9755859375
LIGHTING,-50,-10,50,-10,50,10,-50,10,8968.234375,9290.4130859375,9068.234375,9290.4130859375,9068.234375,9310.4130859375,8968.234375,9310.4130859375
TABLE,-87.5,-45,87.5,-45,87.5,45,-87.5,45,8902.1142578125,9171.353515625,9077.1142578125,9171.353515625,9077.1142578125,9261.353515625,8902.1142578125,9261.353515625
SEATING,-22.75,-26.05,22.75,-26.05,22.75,26.05,-22.75,26.05,9129.223828125,9193.6103515625,9129.223828125,9239.1103515625,9077.123828125,9239.1103515625,9077.123828125,9193.6103515625
SEATING,-22.75,-26.05,22.75,-26.05,22.75,26.05,-22.75,26.05,9021.861328125,9119.24296875,9067.361328125,9119.24296875,9067.361328125,9171.34296875,9021.861328125,9171.34296875
SEATING,-22.75,-26.05,22.75,-26.05,22.75,26.05,-22.75,26.05,9064.3486328125,9313.4640625,9018.8486328125,9313.4640625,9018.8486328125,9261.3640625,9064.3486328125,9261.3640625
